date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:22:56	45378/45378	---M-Z	200	added ('OK')	text/html	date:Thu,%2007%20Dec%202017%2018:22:36%20GMT	https://www.nzog.com/sustainability/our-values/integrity-and-trust/	C:/Users/Dallas/Documents/GitHub/parkerprecisionweb.github.io/portfolio/patroleum_design/patroleum_example/www.nzog.com/sustainability/our-values/integrity-and-trust/index.html	(from https://www.nzog.com/)
11:22:56	43952/43952	---M-Z	200	added ('OK')	text/html	date:Thu,%2007%20Dec%202017%2018:22:35%20GMT	https://www.nzog.com/sustainability/our-values/	C:/Users/Dallas/Documents/GitHub/parkerprecisionweb.github.io/portfolio/patroleum_design/patroleum_example/www.nzog.com/sustainability/our-values/index.html	(from https://www.nzog.com/)
11:22:57	20127/20127	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	date:Mon,%2007%20Dec%202015%2001:25:04%20GMT	https://www.nzog.com/vendor/twbs/bootstrap-sass/assets/fonts/bootstrap/glyphicons-halflings-regular.eot?	C:/Users/Dallas/Documents/GitHub/parkerprecisionweb.github.io/portfolio/patroleum_design/patroleum_example/www.nzog.com/vendor/twbs/bootstrap-sass/assets/fonts/bootstrap/glyphicons-halflings-regulard41d.eot	(from https://www.nzog.com/themes/nz-oil-gas/css/bootstrap.css)
11:22:57	44274/44274	---M-Z	200	added ('OK')	text/html	date:Thu,%2007%20Dec%202017%2018:22:35%20GMT	https://www.nzog.com/sustainability/about-sustainability/	C:/Users/Dallas/Documents/GitHub/parkerprecisionweb.github.io/portfolio/patroleum_design/patroleum_example/www.nzog.com/sustainability/about-sustainability/index.html	(from https://www.nzog.com/)
11:22:57	45816/45816	---M-Z	200	added ('OK')	text/html	date:Thu,%2007%20Dec%202017%2018:22:37%20GMT	https://www.nzog.com/sustainability/our-values/what-we-could-do-better/	C:/Users/Dallas/Documents/GitHub/parkerprecisionweb.github.io/portfolio/patroleum_design/patroleum_example/www.nzog.com/sustainability/our-values/what-we-could-do-better/index.html	(from https://www.nzog.com/)
11:22:58	287/287	---M-Z	301	error ('Moved%20Permanently')	text/html	date:Thu,%2007%20Dec%202017%2018:22:38%20GMT	https://www.nzog.com/investor-information/company-reports/sustainability-report/	C:/Users/Dallas/Documents/GitHub/parkerprecisionweb.github.io/portfolio/patroleum_design/patroleum_example/www.nzog.com/investor-information/company-reports/sustainability-report/index.html	(from https://www.nzog.com/)
11:22:58	45901/45901	---M-Z	200	added ('OK')	text/html	date:Thu,%2007%20Dec%202017%2018:22:38%20GMT	https://www.nzog.com/sustainability/our-values/te-reo-whakawhitiwhiti-communication/	C:/Users/Dallas/Documents/GitHub/parkerprecisionweb.github.io/portfolio/patroleum_design/patroleum_example/www.nzog.com/sustainability/our-values/te-reo-whakawhitiwhiti-communication/index.html	(from https://www.nzog.com/)
11:22:58	18028/18028	---M--	200	added ('OK')	text/html	date:Mon,%2007%20Dec%202015%2001:25:04%20GMT	https://www.nzog.com/vendor/twbs/bootstrap-sass/assets/fonts/bootstrap/glyphicons-halflings-regular.woff2	C:/Users/Dallas/Documents/GitHub/parkerprecisionweb.github.io/portfolio/patroleum_design/patroleum_example/www.nzog.com/vendor/twbs/bootstrap-sass/assets/fonts/bootstrap/glyphicons-halflings-regular.html	(from https://www.nzog.com/themes/nz-oil-gas/css/bootstrap.css)
11:22:59	45725/45725	---M-Z	200	added ('OK')	text/html	date:Thu,%2007%20Dec%202017%2018:22:38%20GMT	https://www.nzog.com/sustainability/our-values/arumoni-han/	C:/Users/Dallas/Documents/GitHub/parkerprecisionweb.github.io/portfolio/patroleum_design/patroleum_example/www.nzog.com/sustainability/our-values/arumoni-han/index.html	(from https://www.nzog.com/)
11:22:59	46773/46773	---M-Z	200	added ('OK')	text/html	date:Thu,%2007%20Dec%202017%2018:22:39%20GMT	https://www.nzog.com/sustainability/materiality/	C:/Users/Dallas/Documents/GitHub/parkerprecisionweb.github.io/portfolio/patroleum_design/patroleum_example/www.nzog.com/sustainability/materiality/index.html	(from https://www.nzog.com/)
